央视频道,#genre#
广东卫视,http://113.120.108.132:4000/rtp/239.21.1.92:5002$山东电信_result_ip
广东卫视,http://117.64.244.75:6688/rtp/238.1.78.161:7160$安徽电信_result_ip
广西卫视,http://117.64.244.75:6688/rtp/238.1.78.70:6432$安徽电信_result_ip
东南卫视,http://113.120.108.132:4000/rtp/239.21.1.113:5002$山东电信_result_ip
东南卫视,http://117.64.244.75:6688/rtp/238.1.78.22:6104$安徽电信_result_ip
海南卫视,http://113.120.108.132:4000/rtp/239.21.2.14:5002$山东电信_result_ip
海南卫视,http://117.64.244.75:6688/rtp/238.1.79.49:4504$安徽电信_result_ip
河北卫视,http://113.120.108.132:4000/rtp/239.21.1.168:5002$山东电信_result_ip
河北卫视,http://117.64.244.75:6688/rtp/238.1.78.245:7832$安徽电信_result_ip
河南卫视,http://113.120.108.132:4000/rtp/239.21.2.37:5002$山东电信_result_ip
河南卫视,http://117.64.244.75:6688/rtp/238.1.79.65:4632$安徽电信_result_ip
湖北卫视,http://113.120.108.132:4000/rtp/239.21.1.163:5002$山东电信_result_ip
湖北卫视,http://117.64.244.75:6688/rtp/238.1.78.168:7216$安徽电信_result_ip
江西卫视,http://113.120.108.132:4000/rtp/239.21.1.167:5002$山东电信_result_ip
江西卫视,http://117.64.244.75:6688/rtp/238.1.78.26:6136$安徽电信_result_ip
四川卫视,http://113.120.108.132:4000/rtp/239.21.2.15:5002$山东电信_result_ip
四川卫视,http://117.64.244.75:6688/rtp/238.1.78.30:6168$安徽电信_result_ip
重庆卫视,http://113.120.108.132:4000/rtp/239.21.1.233:5002$山东电信_result_ip
重庆卫视,http://117.64.244.75:6688/rtp/238.1.78.31:6176$安徽电信_result_ip
贵州卫视,http://113.120.108.132:4000/rtp/239.21.1.166:5002$山东电信_result_ip
贵州卫视,http://117.64.244.75:6688/rtp/238.1.78.244:7824$安徽电信_result_ip
云南卫视,http://117.64.244.75:6688/rtp/238.1.78.89:6584$安徽电信_result_ip
天津卫视,http://113.120.108.132:4000/rtp/239.21.1.165:5002$山东电信_result_ip
天津卫视,http://117.64.244.75:6688/rtp/238.1.78.20:6088$安徽电信_result_ip
安徽卫视,http://113.120.108.132:4000/rtp/239.21.1.159:5002$山东电信_result_ip
安徽卫视,http://117.64.244.75:6688/rtp/238.1.78.150:7072$安徽电信_result_ip
安徽卫视,http://117.64.244.75:6688/rtp/238.1.79.27:4328$安徽电信_result_ip
山东卫视,http://113.120.108.132:4000/rtp/239.21.1.87:5002$山东电信_result_ip
山东卫视,http://117.64.244.75:6688/rtp/238.1.78.169:7224$安徽电信_result_ip
辽宁卫视,http://113.120.108.132:4000/rtp/239.21.1.164:5002$山东电信_result_ip
辽宁卫视,http://117.64.244.75:6688/rtp/238.1.78.21:6096$安徽电信_result_ip
黑龙江卫视,http://113.120.108.132:4000/rtp/239.21.1.28:5002$山东电信_result_ip
黑龙江卫视,http://117.64.244.75:6688/rtp/238.1.78.159:7144$安徽电信_result_ip
吉林卫视,http://113.120.108.132:4000/rtp/239.21.2.49:5002$山东电信_result_ip
吉林卫视,http://117.64.244.75:6688/rtp/238.1.79.48:4496$安徽电信_result_ip
内蒙古卫视,http://117.64.244.75:6688/rtp/238.1.78.103:6696$安徽电信_result_ip
宁夏卫视,http://117.64.244.75:6688/rtp/238.1.78.109:6744$安徽电信_result_ip
山西卫视,http://117.64.244.75:6688/rtp/238.1.78.95:6632$安徽电信_result_ip
陕西卫视,http://117.64.244.75:6688/rtp/238.1.78.88:6576$安徽电信_result_ip
甘肃卫视,http://113.120.108.132:4000/rtp/239.21.2.22:5002$山东电信_result_ip
甘肃卫视,http://117.64.244.75:6688/rtp/238.1.79.36:4400$安徽电信_result_ip
青海卫视,http://113.120.108.132:4000/rtp/239.21.2.51:5002$山东电信_result_ip
青海卫视,http://117.64.244.75:6688/rtp/238.1.78.102:6688$安徽电信_result_ip
新疆卫视,http://117.64.244.75:6688/rtp/238.1.78.110:6752$安徽电信_result_ip
西藏卫视,http://117.64.244.75:6688/rtp/238.1.78.101:6680$安徽电信_result_ip
三沙卫视,http://117.64.244.75:6688/rtp/238.1.78.27:6144$安徽电信_result_ip
三沙卫视,http://113.25.105.43:10000/rtp/239.1.1.70:8070$山西电信
兵团卫视,http://117.64.244.75:6688/rtp/238.1.78.104:6704$安徽电信_result_ip
农林卫视,http://113.25.105.43:10000/rtp/239.1.1.73:8073$山西电信
山东教育卫视,http://113.25.105.43:10000/rtp/239.1.1.74:8074$山西电信
中国教育1台,http://113.120.108.132:4000/rtp/239.21.2.7:5002$山东电信_result_ip
中国教育1台,http://117.64.244.75:6688/rtp/238.1.78.158:7136$安徽电信_result_ip

数字频道,#genre#
